,,,Tag Code,,,Reader,Mux,RSSI,,Time
52527,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,
52528,TAG_READ,,c50000000000000000000158,,,1,1,-69,1.52048E+12,
52529,TAG_READ,,c50000000000000000000158,,,1,2,-63,1.52048E+12,
52530,TAG_READ,,c50000000000000000000916,,,1,2,-67,1.52048E+12,
52531,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-69,1.52048E+12,
52532,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52533,TAG_READ,,c50000000000000000000334,,,1,3,-70,1.52048E+12,
52534,TAG_READ,,c50000000000000000000916,,,1,3,-67,1.52048E+12,
52535,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52536,TAG_READ,,c50000000000000000000610,,,1,3,-64,1.52048E+12,
52537,TAG_READ,,c50000000000000000000158,,,1,3,-67,1.52048E+12,
52538,TAG_READ,,c50000000000000000000158,,,1,2,-67,1.52048E+12,
52539,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-71,1.52048E+12,
52540,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52541,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-67,1.52048E+12,
52542,TAG_READ,,c50000000000000000000916,,,1,3,-61,1.52048E+12,
52543,TAG_READ,,c50000000000000000000610,,,1,3,-63,1.52048E+12,
52544,TAG_READ,,c50000000000000000000334,,,1,2,-68,1.52048E+12,
52545,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52546,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-68,1.52048E+12,
52547,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52548,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52549,TAG_READ,,c50000000000000000000916,,,1,3,-69,1.52048E+12,
52550,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52048E+12,
52551,TAG_READ,,c50000000000000000000334,,,1,3,-61,1.52048E+12,
52552,TAG_READ,,c50000000000000000000334,,,1,2,-66,1.52048E+12,
52553,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-70,1.52048E+12,
52554,TAG_READ,,c50000000000000000000916,,,1,3,-65,1.52048E+12,
52555,TAG_READ,,c50000000000000000000900,,,1,3,-64,1.52048E+12,
52556,TAG_READ,,c50000000000000000000158,,,1,3,-63,1.52048E+12,
52557,TAG_READ,,c50000000000000000000334,,,1,3,-57,1.52048E+12,
52558,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52048E+12,
52559,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-69,1.52048E+12,
52560,TAG_READ,,c50000000000000000000158,,,1,3,-65,1.52048E+12,
52561,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52048E+12,
52562,TAG_READ,,c50000000000000000000334,,,1,3,-66,1.52048E+12,
52563,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52564,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52565,TAG_READ,,c50000000000000000000900,,,1,3,-71,1.52048E+12,
52567,TAG_ALARM,EPC_EAS,c50000000000000000000916,,,1,,,1.52048E+12,
52567,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52048E+12,
52568,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-69,1.52048E+12,
52569,TAG_READ,,c50000000000000000000900,,,1,3,-70,1.52048E+12,
52570,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52571,TAG_READ,,c50000000000000000000158,,,1,3,-63,1.52048E+12,
52572,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-69,1.52048E+12,
52573,TAG_READ,,c50000000000000000000158,,,1,3,-71,1.52048E+12,
52574,TAG_READ,,c50000000000000000000158,,,1,3,-74,1.52048E+12,
52575,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52576,TAG_READ,,c50000000000000000000334,,,1,3,-68,1.52048E+12,
52577,TAG_READ,,c50000000000000000000334,,,1,3,-70,1.52048E+12,
52578,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52048E+12,
52579,TAG_READ,,c50000000000000000000334,,,1,3,-71,1.52048E+12,
52580,TAG_READ,,c50000000000000000000334,,,1,3,-71,1.52048E+12,
52581,TAG_READ,,c50000000000000000000334,,,1,3,-71,1.52048E+12,
52582,TAG_READ,,c50000000000000000000334,,,1,3,-70,1.52048E+12,
