Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
37352,TAG_READ,,c50000000000000000000500,,,1,4,-73,1.52045E+12,450690
37353,TAG_READ,,abacab000000000000000245,,,1,4,-67,1.52045E+12,450690
37354,TAG_READ,,c50000000000000000000803,,,1,4,-69,1.52045E+12,450690
37355,TAG_READ,,c50000000000000000000334,,,1,1,-68,1.52045E+12,450690
37356,TAG_READ,,c50000000000000000000859,,,1,1,-66,1.52045E+12,450690
37357,TAG_READ,,c50000000000000000000352,,,1,1,-70,1.52045E+12,450690
37358,TAG_READ,,c50000000000000000000803,,,1,1,-69,1.52045E+12,450690
37359,TAG_READ,,abacab000000000000000254,,,1,1,-74,1.52045E+12,450690
37360,TAG_READ,,c50000000000000000000158,,,1,1,-69,1.52045E+12,450690
37361,TAG_READ,,c50000000000000000000323,,,1,1,-67,1.52045E+12,450690
37362,TAG_READ,,083056003e86d2e43c03b5fe27a00400,,,1,1,-72,1.52045E+12,450690
37363,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,1,-70,1.52045E+12,450690
37364,TAG_READ,,c50000000000000000000623,,,1,1,-73,1.52045E+12,450690
37365,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52045E+12,450690
37366,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52045E+12,450690
37367,TAG_READ,,c50000000000000000000764,,,1,1,-66,1.52045E+12,450690
37368,TAG_READ,,c50000000000000000000503,,,1,1,-70,1.52045E+12,450690
37369,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52045E+12,450690
37370,TAG_READ,,c50000000000000000000953,,,1,1,-71,1.52045E+12,450690
37371,TAG_READ,,c50000000000000000000710,,,1,1,-66,1.52045E+12,450690
37372,TAG_READ,,c50000000000000000000334,,,1,1,-67,1.52045E+12,450690
37373,TAG_READ,,c50000000000000000000802,,,1,1,-74,1.52045E+12,450690
37374,TAG_READ,,c50000000000000000000324,,,1,1,-67,1.52045E+12,450690
37375,TAG_READ,,c50000000000000000000323,,,1,1,-69,1.52045E+12,450690
37376,TAG_READ,,c50000000000000000000324,,,1,4,-64,1.52045E+12,450690
37377,TAG_READ,,c50000000000000000000503,,,1,4,-71,1.52045E+12,450690
37378,TAG_READ,,c50000000000000000000710,,,1,4,-64,1.52045E+12,450690
37379,TAG_READ,,c50000000000000000000802,,,1,4,-70,1.52045E+12,450690
37380,TAG_READ,,c50000000000000000000765,,,1,4,-64,1.52045E+12,450690
37381,TAG_READ,,c50000000000000000000953,,,1,4,-71,1.52045E+12,450690
37382,TAG_READ,,c50000000000000000000764,,,1,4,-69,1.52045E+12,450690
37383,TAG_READ,,c50000000000000000000158,,,1,4,-66,1.52045E+12,450690
37384,TAG_READ,,c50000000000000000000909,,,1,4,-70,1.52045E+12,450690
37385,TAG_READ,,c50000000000000000000323,,,1,4,-71,1.52045E+12,450690
37386,TAG_READ,,c50000000000000000000877,,,1,4,-76,1.52045E+12,450690
37387,TAG_READ,,c50000000000000000000623,,,1,4,-69,1.52045E+12,450690
37388,TAG_READ,,c50000000000000000000420,,,1,4,-71,1.52045E+12,450690
37389,TAG_READ,,c50000000000000000000507,,,1,4,-71,1.52045E+12,450690
37390,TAG_READ,,c50000000000000000000235,,,1,4,-71,1.52045E+12,450690
37391,TAG_READ,,c50000000000000000000519,,,1,4,-75,1.52045E+12,450690
37392,TAG_READ,,c50000000000000000000334,,,1,4,-67,1.52045E+12,450690
37393,TAG_READ,,c50000000000000000000655,,,1,4,-71,1.52045E+12,450690
