,,,Tag Code,,,Reader,Mux,RSSI,,Time
52211,TAG_READ,,c50000000000000000000243,,,1,2,-72,1.52048E+12,1520476157
52212,TAG_READ,,c50000000000000000000334,,,1,2,-73,1.52048E+12,1520476157
52213,TAG_READ,,c50000000000000000000334,,,1,4,-71,1.52048E+12,1520476157
52214,TAG_READ,,c50000000000000000000386,,,1,2,-69,1.52048E+12,1520476157
52215,TAG_READ,,c50000000000000000000916,,,1,2,-65,1.52048E+12,1520476157
52216,TAG_READ,,c50000000000000000000610,,,1,2,-65,1.52048E+12,1520476157
52217,TAG_READ,,c50000000000000000000386,,,1,1,-66,1.52048E+12,1520476157
52218,TAG_READ,,c50000000000000000000386,,,1,1,-66,1.52048E+12,1520476158
52219,TAG_READ,,c50000000000000000000334,,,1,1,-68,1.52048E+12,1520476158
52220,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52048E+12,1520476158
52221,TAG_READ,,c50000000000000000000158,,,1,1,-68,1.52048E+12,1520476158
52222,TAG_READ,,c50000000000000000000044,,,1,1,-68,1.52048E+12,1520476158
52223,TAG_READ,,c50000000000000000000243,,,1,1,-71,1.52048E+12,1520476158
52224,TAG_READ,,c50000000000000000000900,,,1,1,-68,1.52048E+12,1520476158
52225,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-64,1.52048E+12,1520476158
52226,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,1520476158
52227,TAG_READ,,c50000000000000000000916,,,1,2,-67,1.52048E+12,1520476158
52228,TAG_READ,,c50000000000000000000334,,,1,2,-68,1.52048E+12,1520476158
52229,TAG_READ,,c50000000000000000000158,,,1,2,-66,1.52048E+12,1520476158
52230,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-68,1.52048E+12,1520476158
52231,TAG_READ,,c50000000000000000000158,,,1,1,-65,1.52048E+12,1520476158
52232,TAG_READ,,c50000000000000000000044,,,1,2,-70,1.52048E+12,1520476158
52233,TAG_READ,,c50000000000000000000243,,,1,2,-70,1.52048E+12,1520476158
52234,TAG_READ,,c50000000000000000000386,,,1,2,-67,1.52048E+12,1520476158
52235,TAG_READ,,c50000000000000000000158,,,1,2,-68,1.52048E+12,1520476158
52236,TAG_READ,,c50000000000000000000916,,,1,2,-70,1.52048E+12,1520476158
52237,TAG_READ,,c50000000000000000000386,,,1,1,-64,1.52048E+12,1520476158
52238,TAG_READ,,c50000000000000000000158,,,1,1,-66,1.52048E+12,1520476158
52239,TAG_READ,,c50000000000000000000386,,,1,2,-63,1.52048E+12,1520476159
52240,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,1520476159
52241,TAG_READ,,c50000000000000000000519,,,1,2,-71,1.52048E+12,1520476159
52242,TAG_READ,,c50000000000000000000044,,,1,2,-65,1.52048E+12,1520476159
52243,TAG_READ,,c50000000000000000000039,,,1,2,-69,1.52048E+12,1520476159
52244,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,1520476159
52245,TAG_READ,,c50000000000000000000334,,,1,2,-65,1.52048E+12,1520476159
52246,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,1520476159
52247,TAG_READ,,c50000000000000000000386,,,1,2,-64,1.52048E+12,1520476159
52248,TAG_READ,,c50000000000000000000158,,,1,2,-68,1.52048E+12,1520476159
