Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
38966,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52047E+12,1520469318
38967,TAG_READ,,c50000000000000000000765,,,1,1,-65,1.52047E+12,1520469318
38968,TAG_READ,,c50000000000000000000420,,,1,1,-70,1.52047E+12,1520469318
38969,TAG_READ,,c50000000000000000000883,,,1,1,-64,1.52047E+12,1520469318
38970,TAG_READ,,abacab000000000000000178,,,1,4,-69,1.52047E+12,1520469318
38971,TAG_READ,,c50000000000000000000765,,,1,4,-71,1.52047E+12,1520469318
38972,TAG_READ,,c50000000000000000000909,,,1,4,-72,1.52047E+12,1520469318
38973,TAG_READ,,c50000000000000000000158,,,1,4,-65,1.52047E+12,1520469318
38974,TAG_READ,,c50000000000000000000315,,,1,4,-69,1.52047E+12,1520469318
38975,TAG_READ,,abacab000000000000000166,,,1,4,-72,1.52047E+12,1520469318
38976,TAG_READ,,c50000000000000000000420,,,1,4,-68,1.52047E+12,1520469318
38977,TAG_READ,,c50000000000000000000334,,,1,4,-64,1.52047E+12,1520469318
38978,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52047E+12,1520469318
38979,TAG_READ,,c50000000000000000000787,,,1,4,-68,1.52047E+12,1520469318
38980,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52047E+12,1520469318
38981,TAG_READ,,c50000000000000000000710,,,1,4,-68,1.52047E+12,1520469318
38982,TAG_READ,,c50000000000000000000883,,,1,4,-65,1.52047E+12,1520469318
38983,TAG_READ,,c50000000000000000000610,,,1,4,-69,1.52047E+12,1520469318
38984,TAG_READ,,c50000000000000000000323,,,1,4,-70,1.52047E+12,1520469318
38985,TAG_READ,,c50000000000000000000796,,,1,4,-66,1.52047E+12,1520469318
38986,TAG_READ,,c50000000000000000000507,,,1,4,-70,1.52047E+12,1520469318
38987,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52047E+12,1520469318
38988,TAG_READ,,c50000000000000000000623,,,1,4,-68,1.52047E+12,1520469318
38989,TAG_READ,,c50000000000000000000155,,,1,4,-73,1.52047E+12,1520469318
38990,TAG_READ,,c50000000000000000000953,,,1,4,-69,1.52047E+12,1520469318
38991,TAG_READ,,c50000000000000000000803,,,1,4,-74,1.52047E+12,1520469318
38992,TAG_READ,,c50000000000000000000655,,,1,4,-71,1.52047E+12,1520469318
38993,TAG_READ,,c50000000000000000000511,,,1,4,-69,1.52047E+12,1520469318
38994,TAG_READ,,abacab000000000000000175,,,1,4,-71,1.52047E+12,1520469318
38995,TAG_READ,,c50000000000000000000900,,,1,4,-71,1.52047E+12,1520469318
38996,TAG_READ,,c50000000000000000000916,,,1,4,-74,1.52047E+12,1520469318
38997,TAG_READ,,c50000000000000000000787,,,1,4,-64,1.52047E+12,1520469318
38998,TAG_READ,,c50000000000000000000909,,,1,4,-69,1.52047E+12,1520469318
38999,TAG_READ,,c50000000000000000000623,,,1,4,-65,1.52047E+12,1520469318
39000,TAG_READ,,c50000000000000000000158,,,1,4,-63,1.52047E+12,1520469318
39001,TAG_READ,,c50000000000000000000235,,,1,4,-73,1.52047E+12,1520469318
39002,TAG_READ,,c50000000000000000000610,,,1,4,-66,1.52047E+12,1520469318
39003,TAG_READ,,c50000000000000000000334,,,1,4,-60,1.52047E+12,1520469318
39004,TAG_READ,,c50000000000000000000710,,,1,4,-64,1.52047E+12,1520469318
39005,TAG_READ,,c50000000000000000000511,,,1,4,-63,1.52047E+12,1520469318
39006,TAG_READ,,c50000000000000000000883,,,1,4,-65,1.52047E+12,1520469318
39007,TAG_READ,,c50000000000000000000155,,,1,4,-73,1.52047E+12,1520469318
39008,TAG_READ,,c50000000000000000000763,,,1,4,-72,1.52047E+12,1520469318
39010,GPI,,,6,FALSE,,,,1.52047E+12,1520469316
39010,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52047E+12,1520469318
39011,TAG_READ,,c50000000000000000000511,,,1,1,-64,1.52047E+12,1520469318
39012,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52047E+12,1520469318
39013,TAG_READ,,c50000000000000000000710,,,1,1,-66,1.52047E+12,1520469318
39014,TAG_READ,,c50000000000000000000900,,,1,1,-67,1.52047E+12,1520469318
39015,TAG_READ,,c50000000000000000000916,,,1,1,-70,1.52047E+12,1520469318
39016,TAG_READ,,c50000000000000000000324,,,1,1,-67,1.52047E+12,1520469318
39017,TAG_READ,,c50000000000000000000883,,,1,1,-64,1.52047E+12,1520469318
39018,TAG_READ,,c50000000000000000000623,,,1,1,-67,1.52047E+12,1520469318
39019,TAG_READ,,c50000000000000000000334,,,1,1,-63,1.52047E+12,1520469318
39020,TAG_READ,,c50000000000000000000796,,,1,1,-69,1.52047E+12,1520469318
39021,TAG_READ,,c50000000000000000000347,,,1,1,-71,1.52047E+12,1520469318
39022,TAG_READ,,c50000000000000000000235,,,1,1,-73,1.52047E+12,1520469318
39023,TAG_READ,,c50000000000000000000610,,,1,1,-66,1.52047E+12,1520469318
39024,TAG_READ,,c50000000000000000000763,,,1,1,-70,1.52047E+12,1520469318
39025,TAG_READ,,c50000000000000000000909,,,1,1,-71,1.52047E+12,1520469318
39026,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52047E+12,1520469318
39027,TAG_READ,,c50000000000000000000319,,,1,1,-71,1.52047E+12,1520469318
